id,lat,lon,store
176,35.17674317,128.8140626,176
177,35.24096319,128.5863061,177
178,35.8673613,128.6063838,178
179,35.69507248,128.4409932,179
180,35.83064561,128.6185522,180
181,35.86419504,128.4661309,181
182,35.86106587,128.6472207,182
183,35.88519453,128.589861,183
184,35.89066202,128.5932402,184
185,35.16616462,129.1578182,185
186,35.20417858,129.0830641,186
187,35.07700983,129.0164335,187
188,35.15714875,129.061033,188
189,35.15084467,129.1116766,189
190,35.16797548,129.0348491,190
191,35.14790032,129.030228,191
192,35.56591427,129.3507209,192
193,35.5470448,129.315227,193
194,35.5655037,129.2663056,194
195,35.56492154,129.1124745,195
196,33.50509172,126.4676792,196
197,33.47161102,126.4877418,197
198,33.47065125,126.4882169,198
199,33.47065125,126.4882169,199
200,33.23539167,126.3695925,200
